package_name,offer_desc,offer_name,IIP_name,Estimated Payout(cents),campaign_start,campaign_end
com.fintonic,Instalar y agregar cuenta bancaria.,Fintonic - Finanzas Personales Android App,adscendMedia,150.0,20190305.0,20190311.0
mappstreet.mohjong_solitaire,Install and play for 6 minutes.,Mohjong Solitaire Android App,adscendMedia,1.375,20190305.0,20190428.0
net.kanmobi.jellyslice,Install and launch.,Jelly Slice Android App,adscendMedia,10.5,20190306.0,20190410.0
com.nemo.WordGuruPuzzle,Install the app and complete level 100 to get rewarded.,Word Guru Puzzle Android App,adscendMedia,7.0,20190306.0,20190617.0
com.cashkarma.app,Install and Reach 850 Points. (Start with 300 pts bonus!),cashKarma Rewards & Gift Cards Android App,adscendMedia,56.0,20190305.0,20190617.0
com.bahrigames.monkeybubble,Install and Reach level 35.,Monkey Bubble Android App,adscendMedia,13.125,20190305.0,20190617.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,31.5,20190306.0,20190617.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Earn Money - Android,adscendMedia,23.625,20190305.0,20190617.0
com.playstudios.popslots,Install and reach level 18 to get rewarded.,POP! Slots - Casino Slot Games Android App,adscendMedia,150.0,20190306.0,20190617.0
com.horoscopeclub,"Install, launch and sign up for 3 day free trial for rewards.",Horoscope Club Android App,adscendMedia,1.5,20190306.0,20190506.0
com.paymeeasy.client,"Install, Login and Reach 150 points.",PayMeEasy Android App,adscendMedia,9.6,20190306.0,20190401.0
com.appkarma.app,Install + Reach 750 points (Start with 300 pts bonus!),appKarma Rewards & Gift Cards - Android,adscendMedia,70.0,20190305.0,20190617.0
mappstreet.ViuT,एक लेख स्थापित करें और खोलें।,VuiT - Movies & TV Android App,adscendMedia,1.375,20190306.0,20190411.0
com.taskbucks.taskbucks,स्थापित करें और रजिस्टर करें।,Get Wallet Cash & Recharge Android App,adscendMedia,7.0,20190306.0,20190608.0
mappstreet.freestreet,स्थापित करें और 6 मिनट के लिए खेलें।,Freestreet Games Android App,adscendMedia,1.375,20190306.0,20190606.0
mappstreet.videotimer,Установите и нажмите кнопку воспроизведения.,Video Timer Android App,adscendMedia,1.75,20190306.0,20190428.0
mappstreet.funny_jump,Установите и играйте 6 минут.,Bouncy Birds Android App,adscendMedia,1.75,20190306.0,20190415.0
mappstreet.mohjong_solitaire,Установите и играйте 6 минут.,Mohjong Solitaire Android App,adscendMedia,1.75,20190305.0,20190428.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,33.75,20190305.0,20190617.0
mappstreet.horoscope,"Download, Install and read the horoscope to get rewarded",My Horoscope Android App,adscendMedia,1.5,20190307.0,20190429.0
mappstreet.sokoban,Install and play a game for 3 minutes.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.mohjong_solitaire,"Download, open and play for 3 minutes to get rewarded",Mohjong Solitaire Android App,adscendMedia,1.125,20190305.0,20190428.0
mappstreet.spacelive,Install and read an article.,Space Live Android App,adscendMedia,1.75,20190305.0,20190429.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Earn Money - Android,adscendMedia,23.625,20190305.0,20190617.0
com.perblue.disneyheroes,Install and Reach level 10.,Disney Heroes: Battle Mode Android App,adscendMedia,46.875,20190306.0,20190520.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,31.5,20190306.0,20190617.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,33.75,20190305.0,20190617.0
com.bahrigames.candybubble,Install and Reach level 35.,Candy Bubble Android App,adscendMedia,9.25,20190307.0,20190617.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,33.75,20190305.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,55.0,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,5.25,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,14.0,20190305.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,49.875,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,3.875,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,10.5,20190305.0,20190617.0
com.surveysampling.mobile.quickthoughts,Installation und erster Abschluss der Umfrage,QuickThoughts Android App,adscendMedia,37.8,20190306.0,20190617.0
net.lovoo.android,"Instalar, lanzar y registrarse.

",LOVOO Android App,adscendMedia,13.125,20190312.0,20190617.0
net.lovoo.android,"Instalar, lanzar y registrarse.

",LOVOO Android App,adscendMedia,17.5,20190312.0,20190617.0
mappstreet.ViuT,Install and open an article.,VuiT - Movies & TV Android App,adscendMedia,1.375,20190306.0,20190411.0
mappstreet.ViuT,Install and open an article.,VuiT - Movies & TV Android App,adscendMedia,1.375,20190306.0,20190411.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,23.625,20190313.0,20190617.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,31.5,20190313.0,20190617.0
com.dollarswall.client,"Install, login and reach 50 points.",DollarsWall - Rewards and GiftCards Android App,adscendMedia,12.6,20190313.0,20190607.0
com.plarium.vikings,Install and reach palace level 12.,Vikings: War of Clans Android App,adscendMedia,399.0,20190313.0,20190522.0
com.grammarly.android.keyboard,"Install, launch and register",Grammarly Keyboard Android App,adscendMedia,16.2,20190313.0,20190313.0
com.dollarswall.client,"Install, login and reach 50 points.",DollarsWall - Rewards and GiftCards Android App,adscendMedia,12.6,20190313.0,20190607.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,55.0,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,5.25,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,14.0,20190305.0,20190617.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,31.5,20190313.0,20190617.0
com.dollarswall.client,"Install, login and reach 50 points.",DollarsWall - Rewards and GiftCards Android App,adscendMedia,12.6,20190313.0,20190607.0
haygot.togyah.app,स्थापित करें और लॉन्च करें,Toppr - Learning app for classes 5th to 12th Android App,adscendMedia,3.875,20190314.0,20190325.0
haygot.togyah.app,स्थापित करें और लॉन्च करें,Toppr - Learning app for classes 5th to 12th Android App,adscendMedia,6.0,20190314.0,20190325.0
haygot.togyah.app,स्थापित करें और लॉन्च करें,Toppr - Learning app for classes 5th to 12th Android App,adscendMedia,6.0,20190314.0,20190325.0
mappstreet.nearbymapp,"स्थापित करें, लॉन्च करें और 2 के मेनू में से किसी एक स्थान पर क्लिक करें।",Nearby Mapp Android App,adscendMedia,1.375,20190314.0,20190425.0
mappstreet.spacelive,Installieren und lesen Sie einen Artikel.,Space Live Android App,adscendMedia,1.375,20190305.0,20190429.0
mappstreet.lifesaver,Installieren und verwenden Sie die App.,Life Saver Android App,adscendMedia,1.375,20190305.0,20190426.0
mappstreet.mohjong_solitaire,Installiere und spiele für 6 Minuten.,Mohjong Solitaire Android App,adscendMedia,1.375,20190305.0,20190428.0
mappstreet.wordmapp,Installiere und beende Level 6.,Word Mapp Android App,adscendMedia,1.375,20190305.0,20190324.0
com.appkarma.app,Install + Reach 750 points (Start with 300 pts bonus!),appKarma Rewards & Gift Cards - Android,adscendMedia,70.0,20190305.0,20190617.0
com.bahrigames.monkeybubble,Installieren Sie und erreichen Sie Stufe 25.,Monkey Bubble Android App,adscendMedia,7.875,20190305.0,20190617.0
ru.crazybit.experiment,Installiere und erreiche Level 4.,Island Experiment Android App,adscendMedia,10.5,20190305.0,20190404.0
com.ghm.carjump,"Installieren Sie, klicken Sie auf ""Verstanden"" und navigieren Sie zu einem der Dienste und Registrieren Sie sich auf dem Bildschirm, um",Free2Move Android App,adscendMedia,48.6,20190315.0,20190617.0
com.plarium.vikings,Installiere und erreiche Palace Level 12.,Vikings: War of Clans Android App,adscendMedia,399.0,20190313.0,20190522.0
mappstreet.sokoban,Instala y juega un juego por 3 minutos.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.lifesaver,Instala y usa la aplicación.,Life Saver Android App,adscendMedia,1.75,20190305.0,20190426.0
com.giftswall,"Instalar, iniciar sesión y llegar a 400 puntos.",GiftsWall - Money and Gift Card Rewards Android App,adscendMedia,4.25,20190305.0,20190429.0
net.lovoo.android,"Instalar, lanzar y registrarse.

",LOVOO Android App,adscendMedia,17.5,20190312.0,20190617.0
mappstreet.mohjong_solitaire,Install and play for 6 minutes.,Mohjong Solitaire Android App,adscendMedia,1.375,20190305.0,20190428.0
net.kanmobi.jellyslice,Install and launch.,Jelly Slice Android App,adscendMedia,10.5,20190306.0,20190410.0
com.nemo.WordGuruPuzzle,Install the app and complete level 100 to get rewarded.,Word Guru Puzzle Android App,adscendMedia,7.0,20190306.0,20190617.0
com.cashkarma.app,Install and Reach 850 Points. (Start with 300 pts bonus!),cashKarma Rewards & Gift Cards Android App,adscendMedia,56.0,20190305.0,20190617.0
com.bahrigames.monkeybubble,Install and Reach level 35.,Monkey Bubble Android App,adscendMedia,13.125,20190305.0,20190617.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,31.5,20190306.0,20190617.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Earn Money - Android,adscendMedia,23.625,20190305.0,20190617.0
com.horoscopeclub,"Install, launch and sign up for 3 day free trial for rewards.",Horoscope Club Android App,adscendMedia,1.5,20190306.0,20190506.0
com.appkarma.app,Install + Reach 750 points (Start with 300 pts bonus!),appKarma Rewards & Gift Cards - Android,adscendMedia,70.0,20190305.0,20190617.0
mappstreet.ViuT,Install and open an article.,VuiT - Movies & TV Android App,adscendMedia,1.375,20190306.0,20190411.0
